title,ingredients,steps,loves,url,category
Orak arik telur buncis,1 buah telur--10 buncis--3 bawang merah--2 bawang putih--6 cabe rawit--1 sdm kecap manis--Penyedap (garam gula atau penyedap lainnya)--,"Haluskan bawang merah, bawang putih dan cabai--Iris buncis sesuai selera--Tumis bumbu halus hingga harum--Masukan buncis hingga agak layu--Masukan penyedap--Masukan telur, lalu campur dengan buncis di orak arik hingga rata.. tunggu sebentar lalu di orak arik lagi.. supaya matangnya sempurna 👌(biar ga amis)--Masukan kecap manis--Masukan air sedikit biarkan menyusut dan meresap--Koreksi rasa--Jadi deh.. selamat menikmati 😇--",1,/id/resep/4474114-orak-arik-telur-buncis,Olahan tahu
Terik ayam tempe telor,4 sayap ayam--4 buah telor--1/2 papan tempe--Bumbu halus:--5 siung bawang merah--4 siung bawang putih--2 butir kemiri--1/2 sdm ketumbar--secukupnya Garam--Bumbu lain:--2 cm lengkuas--1 lembar daun salam--1 batang sereh--secukupnya Gula jawa--Bawang goreng--Minyak untuk menumis--1 bungkus santan kara--secukupnya Air--5 buah cabe rawit--,"Cuci sayap ayam kemudian sisihkan. Rebus telur dan kupas. Sisihkan. Potong tempe sesuai selera. Sisihkan.--Panaskan minyak langsung di dalam panci. Tumis sereh, daun salam, dan lengkuas. Setelah beberapa saat masukkan bumbu halus. Tumis sampai berbau harum. Kemudian masukkan air dan gula jawa dan cabe rawit. Jika air sudah mendidih, masukkan sayap ayam dan telor. Masukkan tempe belakangan. Tunggu beberapa saat sampai ayam empuk (karena pakai sayap ayam, jadi tidak begitu lama). Jika ayam sudah empuk masukkan santan kara. Tunggu beberapa saat. Sesuaikan rasa. Matikan api, dan taburkan bawang goreng.--Terik siap dinikmati dengan nasi hangat dan kerupun 😁--",6,/id/resep/4474066-terik-ayam-tempe-telor,Olahan tahu
Telur Kornet,1/2 kaleng kornet--2-3 buah bawang prei--2 buah telur--1 sdm tepung terigu--secukupnya Cabe rawit--2 jumput Garam--1/2 sdt Merica--1/2 sdm Saus tiram--,"Campur kornet, telur, bawang prei dan cabe yg sudah di iris tipis. Tambahkan garam merica saos tiram secukupnya dan tepung terigu. Goreng 1 sdm dulu setelah matang baru cek rasa. Dirasa sudah pas. Adonan siap di goreng.😊--",7,/id/resep/4473838-telur-kornet,Olahan tahu
Tahu telur surabaya,1 butir telur--1 potong tahu putih goreng setengah matang--1/2 siung bawang putih goreng--1 sdm petis udang--3 sdm kacang tanah goreng--secukupnya Gula merah--secukupnya Air--Kucai secukupnya / seledri--secukupnya Bawang goreng--secukupnya Garam--Kecap manis--4 buah cabai rawit goreng--Tauge--Acar--,"Uleg kacang, cabai, bawang putih, gula merah, petis. Tambahkan air matang. Aduk rata. Sisihkan--Potong tahu kecil-kecil. Sisihkan--Kocok telur dan garam. Masukkan tahu ke telur. Goreng--Campur telur goreng dan tauge dengan saus kacang. Aduk rata.--Pindah ke piring, beri kecap manis secukupnya, taburi bawang goreng dan kucai/seledri. Tambahkan acar--",10,/id/resep/4473784-tahu-telur-surabaya,Olahan tahu
Telur ceplok masak kecap,4 butir telur--4 siung bwng merah--2 siung bwng putih--1 buah tomat--4 buah cabe merah besar--secukupnya Kecap bango--,"Ceplok telur lalu sisihkan--Iris tipis dua bwng,cabe dan tomat--Panaskan minyak tumis bmbu sampai harum--Tambahkan kecapmasukan telur tambahkan air sampai bmbu meresap--Angkat dan sajikan dengn nasi panas--",0,/id/resep/4473512-telur-ceplok-masak-kecap,Olahan tahu
Sambal telur ayam,1/2 kg telur--6 cabe merah besar--10 cabe rawit--Sejumput lada--Garam--Gula putih--Kecap manis--3 bawang putih--6 bawang merah--,"Rebus telur lalu kupas dan goreng--Rebus cabe merah, rawit, bawang putih, bawang merah, tomat--Lalu haluskan lada garam, dan bumbu yg di rebus tadi--Tumis bumbu sampai harum masukkan penyedab rasa dan gula, aduk rata. Masukkan air matang sedikit lalu masukkan kecap manis sesuai selera dan telur. Tunggu sampai air menyusut. Icip rasa--Sajikan--",6,/id/resep/4473513-sambal-telur-ayam,Olahan tahu
Telur Dadar Padang,"3 btr telur ayam(lebih enak pakai telur bebek)--4 sdm kelapa parut,sangrai(asli : 3 sdm)--2 sdm tepung beras,larutkan dengan sedikit air--1/2 lbr daun kunyit,buang tulangnya,iris halus(skip)--2 btg daun bawang,iris halus--Secukupnya garam dan kaldu bubuk(optional)--Bumbu halus :--3 bh cabe merah,giling/iris halus(aku tambah 5 bh cabe rawit)--5 btr bawang merah--3 siung bawang putih--1/2 ruas kunyit--1 sdt kari bubuk(aku pakai Baba's)--1 sdt ketumbar bubuk--1/2 sdt lada bubuk--","Kocok telur sebentar saja,jika kelamaan telurnya kempes saat didadar.--Masukkan bumbu halus,aduk rata.--Tambahkan bahan lainnya,beri garam dan kaldu bubuk,tes rasa.--Panaskan wajan datar anti lengket dengan api besar,beri minyak goreng secukupnya.--Setelah minyak panas,tuang kocokan telur,kecilkan api,tutup wajan.--Jika sudah kokoh,balik telur dan masak sisi lainnya hingga matang.--Angkat dan tiriskan.--Sajikan saat masih hangat dengan nasi panas..lamakk banaa..ngga perlu sambel lagi..karna ini udah pedess..😰😰--",39,/id/resep/4473259-telur-dadar-padang,Olahan tahu
Ceplok Telor saus Asam Manis,"2 btr telur--1 ruas wortel iris korek api--1 siung bwg putih geprek cacah halus--1/2 siung bwg bombay iris tipis--1 sdm saus tomat--1 sdm saus sambel--Sejumput garam, merica n kaldu bubuk--Seujung sdt gula--30 ml air--","Ceplok telur sisihkan--Tumis bwg putih n bwg bombay sampai harum lalu masukkan wortel, tumis sampai agak layu--Kecilkan api, tambahkan air n masukkan duo saus serta bumbu perasa lain--Aduk rata n masak sampai meletup letup, lalu guyurkan k telur ceplok--",5,/id/resep/4472169-ceplok-telor-saus-asam-manis,Olahan tahu
Potatoes cheese with egg,"250 gr kentang kupas dan potong bulat"" goreng setengah matang--2 bh sosis potong bulat--50 ml susu segar--50 gr keju cheedar parut--50 gr keju mozarela parut--3 butir telur kocok--lada dan garamsecukupnya--","Siapkan cetak tahan panas olesi dgn mentega, uk 12 cm--Tata kentang goreng dipinggan sampai tertutup semua--Kocokan telur bumbui dgn lada dan garam secukupnya, kocok rata tambahkan susu segar, sisihkan--Kentang yg sdh diatur dipinggan atasnya taburi dgn keju cheedar, potongan sosis, dan keju mozarela, terakhir tuangkan kocokan telur susu--Oven selama 20 mnt dgn suhu 180 derajat, jgn lupa panaskan oven lebih dahulu--Siap disajikan dgn saoce sambal tomat--",4,/id/resep/4473136-potatoes-cheese-with-egg,Olahan tahu
TTKK (tahu telur timun tauge kuah kacang),1 butir telur--1 tahu--secukupnya Timun--secukupnya Tauge--Kuah kacang :--Kacang tanah disangrai--Bawang merah--Bawang putih--Cabe kering--Cabe rawit--Gula merah--,"Goreng tahu dan telur, rebus tauge.--Potong2 timun sesuai selera--Tata telur pada piring, potong tahu taruh diatas telur tadi lalu tauge dan timun lalu airam kuah kacang--TTKK siap disantap--",0,/id/resep/4473231-ttkk-tahu-telur-timun-tauge-kuah-kacang,Olahan tahu
