title,ingredients,steps,loves,url,category
Orek tempe manis pedas super simple,Tempe (saya beli 3000 saja)--3 buah cabe gendot--3 buah cabe keriting--3 buah cabe rawit merah--2 siung bawang merah--1 siung bawang putih--Kecap--Saus tiram--Saus tomat--Kaldu bubuk--Garam--Gula--,"Potong2 tempe sesuai selera lalu goreng sebentar.--Tumis duo bawang dan semua cabe (cabe bisa sesuai selera ya pedesnya suka segimana) sampai harum. Masukkan tempe, kecap, saus tiram, saus tomat, kaldu bubuk, gulgar, dan tambahkan air satu gelas belimbing. Aduk2 dan tutup wajan.--Saat air sudah menyusut dan kuah kecap mengental. Cek rasa. Klo sudah oke. Matikan api. Sajikan. (Klo aku suka airnya sedikit sekali 😋). Selamat mencoba !--",7,/id/resep/4474061-orek-tempe-manis-pedas-super-simple,Olahan tempe
Terik ayam tempe telor,4 sayap ayam--4 buah telor--1/2 papan tempe--Bumbu halus:--5 siung bawang merah--4 siung bawang putih--2 butir kemiri--1/2 sdm ketumbar--secukupnya Garam--Bumbu lain:--2 cm lengkuas--1 lembar daun salam--1 batang sereh--secukupnya Gula jawa--Bawang goreng--Minyak untuk menumis--1 bungkus santan kara--secukupnya Air--5 buah cabe rawit--,"Cuci sayap ayam kemudian sisihkan. Rebus telur dan kupas. Sisihkan. Potong tempe sesuai selera. Sisihkan.--Panaskan minyak langsung di dalam panci. Tumis sereh, daun salam, dan lengkuas. Setelah beberapa saat masukkan bumbu halus. Tumis sampai berbau harum. Kemudian masukkan air dan gula jawa dan cabe rawit. Jika air sudah mendidih, masukkan sayap ayam dan telor. Masukkan tempe belakangan. Tunggu beberapa saat sampai ayam empuk (karena pakai sayap ayam, jadi tidak begitu lama). Jika ayam sudah empuk masukkan santan kara. Tunggu beberapa saat. Sesuaikan rasa. Matikan api, dan taburkan bawang goreng.--Terik siap dinikmati dengan nasi hangat dan kerupun 😁--",6,/id/resep/4474066-terik-ayam-tempe-telor,Olahan tempe
Penyet Tempe Sambel Korek Kemangi,2 buah tempe--1 genggam Daun kemangi--15 cabe rawit--2 siung bawang putih--Gula--Garam--,"Iris tempe jd beberapa potong, bumbui dg bawang putih dan garam. Goreng sampai kering--Ulek cabe rawit dan 1 siung bawang putih ukuran besar tambah gula garam sesuai selera--Setelah halus tuang minyak goreng panas bekas goreng tempe td--Penyet tempe diatas sambel dan beri daun kemangi--Tempe penyet siap disantap 😋😋😋--",8,/id/resep/4473809-penyet-tempe-sambel-korek-kemangi,Olahan tempe
Nugget tempe,"1 papan tempe dihaluskan(saya kukus dlu)--1 buah wortel (parut kasar)--2 batang daun bawang (di iris kasar)--1 butir telur--3 butir bawang merah (di iris lalu di goreng)--3 butir bawang putih (di haluskan)--5 sdm tepung terigu--Secukupnya garam,lada & penyedap rasa--secukupnya Tepung panir--secukupnya Minyak goreng--","Campur tempe,wortel,daun bawang & bumbu yg sudah dihaluskan,beri garam,lada & penyedap rasa,tes rasa lalu masukkan telur--Bentuk adonan sesuai selera lalu gulingkan di tepung panir--Goreng hingga matang--Sajikan dengan saos sambal--",8,/id/resep/4473715-nugget-tempe,Olahan tempe
Tempe tepung sajiku,1 potong tempe 3000--1 bngkus sajiku tepung serbaguna--secukupnya Air--Minyak untuk manggoreng--,Potong tempe tipis2--Tuang tepung lalu beri air secukupnya--Panaskan minyak tunggu sampai panas--Masukan satu persatu--Tempe kedalam tepung sampai adonan habis--Angkat tiriskan dan sajikan dengan cabe rawit--,1,/id/resep/4473463-tempe-tepung-sajiku,Olahan tempe
Patty Tempe,"250 gram tempe, kukus, haluskan--150 gram daging sapi/ ayam (sy: 200 gr daging sapi)--5 sdm tepung panir (sy: tepung kobe putih)--2 butir telur--1 buah bawang bombay ukuran sedang, potong kotak kecil--4 siung bawang putih, memarkan lalu cincang--1/4 sdt merica bubuk--1/2 sdt garam--","Ini tepung kobe putih yg sy pakai.--Campur semua bahan dalam wadah.--Ulen hingga semua tercampur rata. Adonan menjadi padat. Tes rasa.--Bentuk bulat lalu pipihkan. Timbang per adonan bila perlu.--Siapkan teflon, beri 2 sdm minyak goreng, panaskan. Masukkan adonan. Masak hingga bagian bawah adonan kecoklatan, lalu balik, masak kembali hingga kecoklatan. Angkat, dinginkan, siap untuk isian burger. Atau mau dimakan gitu aja di cocol saus sambal jg enakkk.--Bila akan di simpan di freezer, sebaiknya panggang di teflon setengah matang, biarkan dingin, lalu masukkan dalam wadah tertutup atau plastik. (sengaja sy simpan 1 buah selama 2 minggu, setelah di goreng ttp oke rasanya).--Selamat Mencoba 😃--",9,/id/resep/4469642-patty-tempe,Olahan tempe
Orek tempe basah bumbu ulek (recook),"1 papan tempe, potong sesuai selera (sy 1/2 papan tempe+4 tahu)--3 cabe ijo, iris (sy lombok merah utuh)--Secukupnya kecap manis--Secukupnya gula, garam, penyedap (sy garam aja)--Secukupnya air--Bumbu halus:--5 butir bawang merah--2 siung bawang putih--1/2 buah tomat--3 cabe merah keriting/cabe rawit (sy skip)--2 butir kemiri--1/4 sdt ketumbar--","Goreng tempe setengah matang, angkat, tiriskan dan sisihkan.--Panaskan secukupnya minyak, tumis bumbu sampai layu dan harum. Tambahkan air, biarkan mendidih. Tambahkan kecap, lombok dan garam, aduk rata. Tambahkan tempe, aduk rata. Koreksi rasa. Angkat.--Siap disajikan.--",6,/id/resep/4473253-orek-tempe-basah-bumbu-ulek-recook,Olahan tempe
Perkedel Tempe,"1/2 potong papan tempe (haluskan dgn sedikit air)--bumbu halus: ulek kasar--6 siung bawang merah--2 siung bawang putih--2 cabai rawit--1 sdt ketumbar bubuk--secukupnya garam, ebi--1/2 bungkus tepung racik bakwan--","Campurkan adonan tempe basah dengan bumbu halus, aduk rata--Panaskan wajan dgn minyak, tuang adonan per 1 sendok makan sampai adonan habis--Goreng adonan sampai berwarna kekuningan--",1,/id/resep/4473022-perkedel-tempe,Olahan tempe
Perkedel Tempe,"300 g tempe--1 butir telur, kocok lepas--1 btg daun bawang, iris2--1 sdt seledri, iris halus--Secukupnya gula, garam, lada bubuk--Bumbu yg digoreng/ditumis & dihaluskan:--3 siung bawang putih--4 buah bawang merah--","Potong2 tempe, dan kukus selama 25 menit.--Haluskan tempe dan masukkan semua bumbu, aduk rata.--Bentuk tempe sesuai selera. Saya pakai sendok sayur untuk mencetaknya.--Selanjutnya goreng diapi sedang sampai kekuningan.--",11,/id/resep/4448262-perkedel-tempe,Olahan tempe
Nugget Tempe Simple,"1 papan tempe--1 buah wortel--1 butir telur (kocok lepas)--5 siung bawang merah--2 siung bawang putih--2 batang daun bawang--1 sdt garam--Secukupnya: tepung terigu, merica, tepung roti & kaldu bubuk--","Haluskan bawang merah, bawang putih, merica, garam & kaldu bubuk. Tambahkan tempe, uleg sampai lembut--Potong2 daun bawang & parut wortel menggunakan parutan keju, siapkan baskom--Masukkan semua bahan dalam baskom kecuali telur & tepung roti. Tambahkan air & terigu, aduk rata. Masukkan dalam loyang & kukus selama 30 menit--Angkat, setelah dingin potong2 sesuai selera, celupkan dalam telur & gulingkan dalam tepung roti, simpan dalam freezer 30 menit. Lalu goreng. 🍱--",6,/id/resep/4472907-nugget-tempe-simple,Olahan tempe
